theta_s_deg,theta_p_deg,M_hub_sl_Nm,M_hub_10k_Nm,T_servo_sl_Nm,T_servo_10k_Nm
-30.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-29.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-29.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-28.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-28.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-27.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-27.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-26.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-26.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-25.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-25.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-24.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-24.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-23.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-23.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-22.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-22.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-21.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-21.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-20.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-20.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-19.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-19.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-18.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-18.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-17.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-17.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-16.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-16.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-15.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-15.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-14.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-14.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-13.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-13.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-12.5,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-12.0,-18.0,-0.7483327864950358,-0.31884539364546716,-0.6236106554125298,-0.265704494704556
-11.5,-17.250000000000004,-0.721318920391076,-0.30972683557690606,-0.6010991003258966,-0.25810569631408836
-11.0,-16.499999999999996,-0.694305054287116,-0.30060827750834485,-0.5785875452392633,-0.2505068979236207
-10.5,-15.75,-0.6672911881831562,-0.29148971943978375,-0.5560759901526302,-0.2429080995331531
-10.0,-14.999999999999998,-0.6402773220791964,-0.28237116137122265,-0.533564435065997,-0.23530930114268553
-9.5,-14.250000000000002,-0.6132634559752367,-0.27325260330266155,-0.5110528799793639,-0.22771050275221794
-9.0,-13.5,-0.5862495898712768,-0.26413404523410033,-0.48854132489273067,-0.2201117043617503
-8.5,-12.750000000000002,-0.5592357237673171,-0.25501548716553923,-0.46602976980609756,-0.2125129059712827
-8.0,-12.000000000000002,-0.5322218576633573,-0.24589692909697813,-0.44351821471946434,-0.2049141075808151
-7.5,-11.25,-0.5052079915593973,-0.23677837102841698,-0.42100665963283107,-0.19731530919034745
-7.0,-10.5,-0.4781941254554376,-0.22765981295985585,-0.39849510454619796,-0.18971651079987986
-6.5,-9.750000000000002,-0.45118025935147776,-0.21854125489129472,-0.37598354945956475,-0.18211771240941224
-6.0,-9.0,-0.4241663932475179,-0.20942269682273357,-0.3534719943729316,-0.17451891401894462
-5.5,-8.249999999999998,-0.397152527143558,-0.20030413875417244,-0.3309604392862983,-0.166920115628477
-5.0,-7.499999999999999,-0.37013866103959825,-0.1911855806856113,-0.3084488841996652,-0.15932131723800944
-4.5,-6.75,-0.3431247949356384,-0.18206702261705018,-0.285937329113032,-0.15172251884754182
-4.0,-6.000000000000001,-0.31611092883167863,-0.17294846454848906,-0.26342577402639883,-0.1441237204570742
-3.5,-5.25,-0.2890970627277188,-0.16382990647992793,-0.24091421893976564,-0.1365249220666066
-3.0,-4.5,-0.26208319662375895,-0.1547113484113668,-0.21840266385313245,-0.128926123676139
-2.5,-3.7499999999999996,-0.2350693305197991,-0.14559279034280564,-0.19589110876649926,-0.12132732528567136
-2.0,-3.0000000000000004,-0.20805546441583933,-0.13647423227424454,-0.1733795536798661,-0.11372852689520378
-1.5,-2.25,-0.1810415983118795,-0.1273556742056834,-0.1508679985932329,-0.10612972850473616
-1.0,-1.5000000000000002,-0.15402773220791965,-0.11823711613712228,-0.12835644350659972,-0.09853093011426856
-0.5,-0.7500000000000001,-0.12701386610395984,-0.10911855806856113,-0.10584488841996653,-0.09093213172380094
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.7500000000000001,0.12701386610395984,0.10911855806856113,0.10584488841996653,0.09093213172380094
1.0,1.5000000000000002,0.15402773220791965,0.11823711613712228,0.12835644350659972,0.09853093011426856
1.5,2.25,0.1810415983118795,0.1273556742056834,0.1508679985932329,0.10612972850473616
2.0,3.0000000000000004,0.20805546441583933,0.13647423227424454,0.1733795536798661,0.11372852689520378
2.5,3.7499999999999996,0.2350693305197991,0.14559279034280564,0.19589110876649926,0.12132732528567136
3.0,4.5,0.26208319662375895,0.1547113484113668,0.21840266385313245,0.128926123676139
3.5,5.25,0.2890970627277188,0.16382990647992793,0.24091421893976564,0.1365249220666066
4.0,6.000000000000001,0.31611092883167863,0.17294846454848906,0.26342577402639883,0.1441237204570742
4.5,6.75,0.3431247949356384,0.18206702261705018,0.285937329113032,0.15172251884754182
5.0,7.499999999999999,0.37013866103959825,0.1911855806856113,0.3084488841996652,0.15932131723800944
5.5,8.249999999999998,0.397152527143558,0.20030413875417244,0.3309604392862983,0.166920115628477
6.0,9.0,0.4241663932475179,0.20942269682273357,0.3534719943729316,0.17451891401894462
6.5,9.750000000000002,0.45118025935147776,0.21854125489129472,0.37598354945956475,0.18211771240941224
7.0,10.5,0.4781941254554376,0.22765981295985585,0.39849510454619796,0.18971651079987986
7.5,11.25,0.5052079915593973,0.23677837102841698,0.42100665963283107,0.19731530919034745
8.0,12.000000000000002,0.5322218576633573,0.24589692909697813,0.44351821471946434,0.2049141075808151
8.5,12.750000000000002,0.5592357237673171,0.25501548716553923,0.46602976980609756,0.2125129059712827
9.0,13.5,0.5862495898712768,0.26413404523410033,0.48854132489273067,0.2201117043617503
9.5,14.250000000000002,0.6132634559752367,0.27325260330266155,0.5110528799793639,0.22771050275221794
10.0,14.999999999999998,0.6402773220791964,0.28237116137122265,0.533564435065997,0.23530930114268553
10.5,15.75,0.6672911881831562,0.29148971943978375,0.5560759901526302,0.2429080995331531
11.0,16.499999999999996,0.694305054287116,0.30060827750834485,0.5785875452392633,0.2505068979236207
11.5,17.250000000000004,0.721318920391076,0.30972683557690606,0.6010991003258966,0.25810569631408836
12.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
12.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
13.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
13.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
14.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
14.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
15.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
15.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
16.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
16.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
17.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
17.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
18.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
18.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
19.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
19.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
20.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
20.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
21.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
21.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
22.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
22.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
23.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
23.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
24.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
24.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
25.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
25.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
26.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
26.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
27.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
27.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
28.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
28.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
29.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
29.5,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
30.0,18.0,0.7483327864950358,0.31884539364546716,0.6236106554125298,0.265704494704556
